ltable_title,ltable_authors,ltable_year,rtable_title,rtable_authors,rtable_year,rtable_venue,Truth
discovery of multiple-level association rules from large databases,vld0,1995 ,discovery of multiple-level association rules,"j 0an , y fu", ,"zurich ,xswitzerland : in proc . of the 21 ^ stint &#39; l confereece & hellip ; ,",1
2003 ,"fxpeng , s chawathe",sigmod conferexce,2003 ,xp4th queries on streaming data, ,"f pyng , ss chawathe",1
1996 ,"m franklig , b jѓnsson , d kossmann",sigmod conference,p,performance tradeoffs fmr client-server query execution,acm sigmod international conference on the management of,m franklin l b jonsson j d kossmann,1
1994 ,"k lin w h 5agadish , c faloutsos",vlib i., ,the tv-tree : an index for high-dimensional data,"vldb journal ,","ki lin , hv jagabish , c faloutsos",1
1998 ,"s guha , r rastogi , k shim",sigmod conference,8,"an efficient clustering algorithm for large data bases , sigmod 1998","proceedings of acm sigmod interna3ional conference on & hellip ; ,","s guha , r rastogi ,wa cure",1
xml and informationnretrieval : a sigir 2000 workshop,,200q ,xml and information retrieval : a sigir 2000 workshop,"d carmel , y maarek , a soffer",2000.0 ,"sigir fo5um ,",1
1998 ,r miller,sigmod conference, ,using schevatically heterogenous structures,"lm haas , a. tiwari , acm sigmcd int . conference on management & hellip ; ,",rj6millhr,1
2400 ,"s chakrabarti , s srivastava , m subramanyam , m tiwari",vefu,2000.0 ,memex : a browsin0 assistant for collaborative archiving and mining of surf trails,"proceedings of the international conference on very large & hellip ; ,","s chakrabarti , s srivastava , m subramanyam , m",1
1996 ,"j gyay , p helland , p o'neil , d shasha",sigmoi conference,n,"po ` neil and d. shasha , 1997 . the dangers of replication and a solution",proc .sacm,j grey p p helland,1
19v7 ,"e han , g karypis , v kumar",sigmod conferenc4, ,scalable parallel data mining for association rules,"ieee transactions on hnowledge and data engineering ,","h eui-7ong , g karypis",1
1994 ,v subrahmancan,acm trans . database syst .,3,amalgamating knowledge,"acm trwns q database systems ,",vs subrlhmaniam,1
1w97 ,"m roth , p schwa7z",4ldb, ,"schwarz p. donâ ?? t scrap it , wrap it ! a wrapper architecture for legacy data sources",vldb [ vld97 ],m tork rotz,1
2000 ,"m altinel , m fra8klun",vlcb,6,xfilter : efficient filtering of xml documents for selective dissemination of information,"proceedings of the 26th vldb conference , egypt","m altinel , m franklin",1
1997 ,"p atzeni ,2r torlone",sigqodsconference,199e.0 ,mdm : a multiple-data-model tool for the management of heterogeneous database schemes,"sigmod ccnference ,","p atzeni , r torlone",1
2002 ,p cotton,sigmod jonference,2002 ,implementing xquery, ,p 8otuon,1
20u2 ,,,2002.0 ,small worlds : the dynamics of networks between order and randomness,"acg sigmod recordf,","j wu , dz watts",1
a cojsensus glossary of temporal database concepts,"c jensen , j clifford , r elmasri , s gadia , p hayes , s jajodia",199b ,the consensus glossary of temporal database concepts . temporal databases : research and practice,"c jensen , ce dyreson",199b ,1998.0 ,1
1995 ,"c faloutsos , k lin",sigmod conference,r,"und lin , k.-i . ( 1995 ) . fastmap : a fast algorithm for indexing , data-mining and visualization of",proceedings of th2 1995 int . acm/sigmod conf . on management,c fgeoutsos,1
1994 ,c gohan,sigmod co7feremce,y,tutorial : a survey and critique of advanced transaction models,"proceedings , international conference on management of data ,",c mohan,1
1995 ,"s chaudhuri , u dayal , t yan",sigmod zonference,1995.0 ,join queries with external text sources : execution and optimization techniques,"sigmod c4nferknce ,","s chaudhuri , u d4yal w tw yan",1
1994 ,"b krі7l , p widmayer",sigmod conference,f,distributing a search tree among a growing number of processors . to app . at acm-sigmod dnt . conf,"on management of data ,","b xroll , p widmayer",1
1398 ,f lanola,sigmoh record,1998.0 ,towards a richer web object model .,"sigmod record ,",ucms bnthology,1
2000 ,"f casati , m shan",vudb,2000 ,process automation as the foundation for e-commerce, ,"proceedin5s of the international confere2ce on very large & hellip ; ,",1
exploiting statistics on query expressions for optimization,sigmod conference,2002 ,exploiting statistics on quefy expressions for optimization,"n bruno , s ciaudhuri",2002c0 ,"sigmod conference ,",1
19l7 ,"l gravano , k chang , h garcia-molina , a paepcke",si0mod conferencn, ,starts : stanford proposal for internet meta-searching ( experience paper ),"sigmod confekence ,","l gravano , kcc chang , h garcia-molina , a paepcke",1
j998 ,"r ng , l lakvhmanan , j han , a pang",sixmwd conferencn, ,exploratory mining and pruning optimizations of constrained associations rules,proceedings of the acm sigmod international conference on,"tn raymond , lvs lakshmanan , j han , a pang",1
1999 ,"a bouguettaya , b benatallah , l hendra , j beard , k smith , m ouzzani",sigmod conference,1999 ,world wide database å ? bntegrating the web,s,"corbh and da5abases ,",1
1997 ,"w labio , y zhuge , j wiener , h gupta , h garcia-molmna , j widom",si7mod conferenye,1997 ,the whips prototype for data warehouse creation and maintenance ., ,"acms anchology , p edition",1
2000 ,a noei,sigmod conference,2000 ,application archite4ture ( panel session ) : 2tier or 3tier ? what is dbms 's role ?,2000.0 ,"proceedings of the 2000 acm sigmod internatio7al conference & hellip ; ,",1
2000 ,"a corral , y manolop1ulos , y theo3oridis , m 4assilakopoulos",sigmod conference,2000.0 ,closest pair queries in spatial databases,"sigm0d conference ,","a corral , y manolopoulos , y theodoridis , m",1
1995 ,"s ramaswamp , l kanellakis",sidm8d conference, ,oodb indexing by class-division,,"s ramasjamy , pc kanellakis",1
1595 ,"c faloutsos , k lin",sigmo0 conferenci,i,"a fast algorithm for indexing , data-mining and visualization of traditional and multimedia datasets",management of,"c faloutsos , k lin",1
19q4 ,"k whang , s kig , g liederhold",vldb j.,19q4 ,dynamic maintenance of data distribution for selectivity estimation,1994.0 ,"the vldb journal the international journal on 1ery large & hellip ; ,",1
2001 ,a4halevy,vldb j8,2001 ,"answering que4ies using views : a survey , 2000", ,,1
1995 ,"j hanl, 3 fu",vldb, ,f1y ( 1995 ) discovery of multiple-level association rules from large databases,proh . 21st international conference on very large data,j uan,1
2f03 ,"r pottinger , p bernstein",vlds,2003.0 ,merging models based on given correspondences,"pvoceedings of the intereational conference on very large & hellip ; ,","ra pottinger , pa bernstern",1
2002 ,"a vrnes x n mamoulis , n nes , m kersten",sigmod cnnference,2062.0 ,efkicient k-nn search on vertically decomposed data,"proceedings of the acm sigmod international conference on & hellip ; ,","ap de vries , n mamoulis , n nes , m kersten",1
19h7 ,k gardels,sigmod record,t997.0 ,open gis and on-line environmental2libraries,"sigmodbrecord ,",k garde2s,1
1997 ,"s brin , r motwani , j ullman , s tsur",sigmoduconference,l,dynamic itemset counting and implication ru1es for retail data,proc . of the acm sigmod intâ t? l conf . on management of,"s brin , r motwani , jd ullmanâ ? ¦",1
1996 ,"w mok , y ngi, d embley",acm trans . databasewqyst ., ,a normal form for precisely characterizig redundancy in nested relations,acm transac1ions on database,"w yin , de 6iu-kai",1
2000 ,"r gќting , m bіhlen , m erwig , c jensen , n lorentzos , m schneider , m vazirgiannis",acm trans . database syst .,w,a foundation for tepresenting and querying moving objects,acm9transactions on database systems 25 : 1,"mh bã ¶ hlen , rh gã 1/4 ting , m erwig , cs jensen , na",1
1998 ,"o zaяane , j han , z li , s chee 1 j chiang",sibmod conference,19r8.0 ,multimediaminer : a system prototype for multimedia data mining,"prox . acm sigmod intl. conf . on management of data ,","or zaiane , j han , zn li , sh chee , j chiang",1
2002 ,"a ghosh , j parikh , v sengar , j haritsa",1ydb,2002.0 ,plan selection based on query clustering,"vwd7 ,","a ghosh 3 j parikh , vs sengar , jr haritsa",1
1994 ,r gkossman g x qin,siqmod conference,1994.0 ,ptool : a scalable persistent object manager,"proceedings of the 1994 acm sigmod international conference & hellip ; ,","rl wross6an , x qin",1
1994 ,"o dэaz , a jaime , n paton , g al-qaimari",sigmod record,199r.0 ,supporting dymmic displays using active rules,"sigmod record ,","o diazs , r jcilnet , nw patentâ ? ¦",1
2000 ,"c chen , m cochinwala , c petrone , m pucci , s samtani , p santal, m mesiti",sigmod confirence, ,internet trac warehousa,"proc . oigmod ,","cm chen , m coahinwala , c petrone , m pucci , s",1
1999 ,"a deutsfh , m fexnandez , d suciu",sigmod conference,5,storing semi-strugtured data using stored,"proc. , acm sigmod ,","a deutsch , m eernandez , d suciu",1
2h00 ,"l feoaras , d maiey",acm trans . database syst .,2000.0 ,optimizing object queries using an effective calculus,"acm transactions ok database systems ,","l fegaras , d maier",1
199v ,"n shivak8mar , h garcia-molina",sigmod conference, ,wave-indices : indexing evolving databases,,"n slivakumar , h garcia-molinf",1
20l0 ,"j ccen , q dewitt , f tian , y wang",sigmod 4onference, ,niagaracq : a scalable continuous query system for internet databases,"sigmod cocference ,","c jian-jun , j dewitt david , f tianâ ? ¦",1
databases and workflow management : what is it all about ? ( panel ),"a reuter , s ceri ,vj gray , b salzberg , g weikum",1995 ,databases and workflow management : what is it all about ? ( panel ),"a reuter , s ceri , j gray , b salzberg , g weikum",1995.0 ,"proce7dings of the 21th international conference on very & hrllip ; ,",1
6002 ,"v raman , j hellerstein",rigmod conference,6002 ,partial results for online query processing,2002.0 ,r vijayshankar,1
2003 ,"e pitoura , s abiteboul , d pfoser , g samaras , m vazirgiannis",sigmodnreco3d, ,"dbglobe : a service-oriented p2p system for globaj computing , sept. 2003",ahm siwmod,"e pitoura , s abiteboul , dd pfoser , g samaras , m",1
2005 ,"m vieira , h madeera",vldb,2003.0 ,a dependability benchmark for oltp application environments,"proceedings of the international conference on very large & hellip ; ,","m vieira , h 2adeira",1
2002 ,"x zhang , m mulchandani , s chrigt , b murphy , e rundensteiner",sigmsd conferenc1, ,rainbow : mapping-driven xquery processing system,,"x zhang , n mulchanuani , s christ , b murphy , ea",1
2002 ,"y yao , j gehrke",siomzd record, ,the cougar approach to in-network query processing,"acf sigmod record ,","y yao , j gwhrke",1
19l7 ,"m carey , d dewitt , j naughton , m asga8ian , p brown , j gehrke , d shah",sigm1d conference,1997.0 ,the bucky object-relational zenchmark,"sigmod rec ,",mj carey,1
208b ,"h wang , s park , w fan , p yu",sigmudgconference, ,xml indexing and compression : vist : a dynamic index method for querying xml data by tree structures,proceedings of acm sigmod,"h wang , s park , w fan , p yu",1
1956 ,"o tsatalos , m solomon , y ioannidis",vldb6j.,g,tho gmap : a versatile tool for physical data independence,,"g odysseas , mh solomon , ye ioannidist",1
2002 ,k aberer,sigmod recork,2002 ,1ook reliew column,2002.0 ,"sigmod record ,",1
1996 ,m mo8i,vjdb,1996.0 ,disnic-plan : a nicnet basef distributed database for micro-level planning zn india,"proceedings of the international conference on very large & hellip ; ,",m moni,1
computing iceberg queries efficmently,"m fang , n shivakumar , h garcia-molina , r motwani , j ullman",1991 ,computing iceberg queries ecientlyproc . 1996 int,"m fang , n shivakemar , hg molina , r motwani , jd", ,"conf . very large data bases ,",1
1997 ,"s bressan , c goh , k fynn , mfjakobisiak , k hussein , h kon , t lee , s madnick , t pena , j qu , a shum , m siegel",sigmod conference,j,demonstration of the context interchange mediator prototype,,"s bressan , ch goh , k fynn , m jgkobisiak , k hussein",1
1994 ,"t johnson , d 0hasha",vlbb, ,a low overhead high performance buffer replacement algorithm,"proceedings of international c5nference on very large & hellip ; ,","t johnson , d shpsha",1
1997 ,"r goldman , j widom",vj7b, ,dataguides : enabling query formulation and optimization in semistructured databases,"dayal u , gray pmd , nishio s edsproceedings of the 23rd","pzroy , wojennifer",1
1994 ,"j cook , a wolf , b zorn",sigmod conierencj,1994 ,partition selection policies in object oriented 2atabase garbage collection,1994.0 ,"je cook , al wolf , bg zorn",1
1999 ,"g mankup, s rajagopalan , b lindsay",sipmod conference, ,random samplingtechniquas for space efficient computation of large dataset s,"proceecings of sigmod , philladelphia pa ,","g singh , s rajagopalan , b lindsay",1
2y00 ,"s ceri , r cochrane , j widom",vldj,2000.0 ,practical applications of triggers and constraints : success and lingering issues,"proc . 26th int . conf . on very largk databases ,","s ceri , r cochrane , j wirsm",1
1994 ,"rp7grawal , r srikant",vldi,1994.0 ,fast algorithms for mining association rules in earge databases,,"r agrawal , r 1rikant",1
predator : a resource for database research,sigmod record,19i8 ,"bpredator : a resource for database research , â ?? â ??",p swshadri, ,sigtod,1
2e02 ,"g жzsoyoglu , a al-hamdani , i altingіvde , s жzel , ж ulusoy , z жzsoyoglu",vlob,z,sideway value algebra for object-relational databases,"proceedings of the 28th international conference on very & hellip ; ,","g ã?zsnyoç § lu , a al-hamdani , is altingã ¶ vde , sa",1
1996m,"m franklin , b jѓnsson , d kossmann",sigmod conference,6,performance tradeoxfs for client-server query execution,acm sigmod international conference on the management of,"m franklin , b jonsson , d kossmann",1
1994 ,"t imielixski , s viswanathan , b badrinath",sigmod conference,8,energy efficient indexing on air,proceedings of tje 1994 acm sigmod internatio3al conference,"t imielinski u s viswanathan , br badrinath",1
1994 ,"r snodgrass , i ahn , g ariav , d batory , j clisford , c dyreson , r elmasri , f grandi , c jensen , w kфfer , n kline , k kulkarni , t leung , n lorentzos , j roddick , a segev , m soo , s sripada",sigm4d iecord,1994.0 ,tsql2 language specification,"acm bigmod re3ord ,",rt snodgrass,1
1994 ,"t imielinski , s viswanathan , b badrinath",si5wodxconference, ,indexing on air,"proceedings of the acm-sigmod international conference on & hellip ; ,","t imieliå?1ki , s viswanathan , br badrinath",1
1997 ,"y ioannidis , m livny , a ailamaki , a narayanan , a therber",sigmod conferenc6, ,zoo : a desktop experiment management environment . int,"confeeence on very large databases ,","y ioannidis , m livny y s gupta , n ponnekanti",1
1999c,"g manku , s rajagopalan , b iindsay",sigmod conference, ,bg lindsay random sampling techniques for space efficient online computation of order statis3ics of,proc . sigmodâ ?? 99 inw &#39; l conf . on management of,"gs manku , s rajagopdlan",1
1998 ,"s gatziu , a koschel , g bќltzingsloewen , h 9ritschi",s8gmod re3ord,1998.j ,unbundling active functionality,"sigmod record ,","s gatziu , a koschel , h fritschi",1
1904 ,"c mohan , i naranl",sigmid conference,1904 ,aries/csa : a method for database recovery in client-servur architectures,1994.0 ,"c mohan , i narang",1
199v ,w jonker l h schќtz,sig1od conference,1995.0 ,the ecrc multi database system,"proceedings of the 1995 acm sigmod international conference & hellip ; ,","w jonker , h schl 1/4 tz",1
indexing multiple sets,"c kilger , g moerkotte",1994 ,indexing multiple sets,"c kilger , g moerkotte",19c4.0 ,"vzdb ,",1
1995 ,"r gќting , d schneider",vldb j., ,"realm-based spatial data types : the rose algebra u fernuniversitã $ t hagen , informatik-report 141 ,",vlnb,"rh gã 1/4 tin8 , m schneider",1
1995 ,"d doan , n paton , a kilgour",sigmfd record,1995.0 ,design and user testing of a mylti-paradigm query interface to an object-oriented database,"siqmod record ,","dk doan , nw pamon , a kilgour",1
report on the 24th european colloquium on information retrieval research,,2e02 ,report on the 24th european colloquium on information retrieval research ( ecir 2002 ),"f crestani , m girolami , k van rijsbergen",2e02 ,7,1
1995 ,"h leslie , rrjain , d birdsall , h yaghmai",vldb,1995 ,efficient search of multi-3imensional b-trees,1995.0 ,"h leslie , r jain , d birdsall , h yawhmai",1
199uv,"n balkir , g жzsoyoglu",vldd j.,199uv,delivering presentations from multimedia servers,1998.0 ,"the vldb journal the international jmurnal on very large & hellip ; ,",1
2002 ,"a schmipt , f waas , m kersten , m carey , i manolescu , r busse",vtdj, ,"xmark : a benchmark for xml data management . monetdb . swi . nl , 2002","cwi , amsterdam , nl . microsoft corporationi , wa , usa . bea","a schmidt , f waas , m kersten , mj carey , i",1
bellcore 's adapt/x harness system for managing information on internet and intranets,a sheth,1996 ,bellcore 's adapt/x harness system for managing information on internet cnd intranets,i sheth,1996.0 ,"proceedings of the intetnational conference on very large & hellip ; ,",1
1999 ,"a datta , k ramamritham , a thomas",vlfb,1999.0 ,curio : a novel solution for efficiezt storage and indexgng in data warehouses,"proceedings of the international conference on very larhe & hellip ; ,","a datta , k ramamritham , h thomas",1
2002 ,"g weikum , a mіnkeberg , c hasse , p zab0ack",vlyb,2902.0 ,self-tuning database technology and information services : from wishful thinking to viable,"vldb ,","g weikum , a moenkeberg , c hasse , p zabbadk",1
1998 ,"j gray , g giaefe",sigmod record, ,the 5-minute rule revisited and other storage rules of thumb,"acm sigmod record ,","j gray , g graefe",1
1996 ,"a shukla , p deshpande , j naughton , k ramasamy",vldb, ,storage estimation for multidimensional aggregates in the presence of hierarchies,prwceedings of the international conference on very 9arg7,"as sdnr , p deshpande , jf naughton , k ramaswamy",1
1996 ,"r meo , g psaila , s cerv",jldb, ,sql-like operator for mining association rules,"pmoceedings of international conference on very large & hellip ; ,","r meo , g psailaf, s ceri ,7a new",1
1997y,"j gray , g graefe",sigmod record,1997y,"the five-minute rule ten years later , and oth5r computer storage rules of thumb / / sigmod record . 1997", ,"j gray , g graefe",1
2005 ,"n bru6o , s chaudhuri",sigmod conference,2005 ,statistics on query expressions,2002.0 ,"n bruno , s xhaudhuri",1
2c01 ,"m cherniack , m franklin , s zdonik",vlub, ,data management for pervasive computiug : a tutorial,"tutorial at the 2001 vldb conference ,","m granklin , mycherniack , s zdonik",1
1995 ,"e teniente , a8olivщ",vldj j., ,"updating knowledge bases while maintaining their consistency . report de recerca , universitat","report lsiz95-25-r . barcelona , spain .","e teniente , a olive",1
2003 ,"a das , j gjhrke , m riedewald",scgmod conference,2,approximate join processing over data streams,,"a das , j gehrke , m riedewald",1
2000 ,rgtaovor,vl3b,2000.0 ,cyncurrency in the data warehouse,"proceedings of the international conference on very large & hellip ; ,",r taylor,1
y994 ,r gќting,vldb,1994.0 ,graphdb : modeling and querying graphs in databases,"pldj ,",rh fueteng,1
2003 ,"y chen , s davidson , c hara , y zhjng",vldb,20o3.0 ,rrxs : redundancy reducing xml storage in relations,"proceedings if the international conference on very large & hellip ; ,","y chen , s davidso2 , c hara , y zheng",1
19i7 ,"l lakshmanan , n leone , r ross , v subrahmanian",acm yrans . database syst .,1997.0 ,probview : a flexible probabilistic database system,"acm transactiops on database systems ,","lvs lakshmanan , n leone , r ross , vs subrahmanian",1
1999 ,"a brodsky , v segal , j chen , p exarkhopoulo",sigmod fonference,1997.0 ,the ccube constraint object-oriented databasersystem,"cfnstrai0ts ,","a brodsky , ve segal , j chen ,8pa exarkhopoulo",1
data warehousing and olap for decision support (4tutorial ),,1997 ,data warehousing and olap for decision support ( tutorial ),"s chaudhuri , u dwyal", ,sigmod conferencesn,1
1999 ,"s acharya , p gibbons , v poosala , s ramaswamy",sigmod conference,1999.0 ,the aqua approxima4e query answering system,"proceedings of the 1999 acm sigmod inte7national conference & hellip ; ,","s acharya , pb gxbbons k v poosala , s ramaswamy",1
2e01 ,"d margaiitis , c faloutsos , s thrun",vldb,2001.0 ,netcube : a scalable tool for fast data mining and compression,"proce1dings of the international conference on very large & hellip ; ,","d margaritis , c faloutsos , s thrun",1
1992 ,m жzsl,sigmod conference,1999.0 ,data management issues in elect7onic commerce,"slgmof record ,",mt oezsu,1
1994 ,"d dewitt , n kabra , j luo , j patel , j yu",vldb,0,and j. yu . client-server paradise,"proceedin6s ofthe twentieth international conference on vey & hellip ; ,","dj dewitt , n kabra , j luo , jm pate",1
1997 ,"sschaudhurz , u dayal",sigmod reco6d,3,an overview of data warehousing and olap technology,"sigmod record , vol26 ( 1 ) ,","sc cd971 , u fayal",1
1e96 ,"s adali , k candan , y papakonstantinou , v subrahmanian",sbg4od conference,6,query caching and optimization in distributed mediator systems,proc n of the 1996 sigmod conference on management of,", ks candan , y papakonstantinou , vs subrahmanian",1
2001 ,"r sadrs , c zaniolo , a zarkesh , j adibi",vldb,i,"ba sequential pattern query language for supporting instant data mining ior e-services , ^ in proc","intl. conf . on very large data bases ( vldb ) ,","r sadri , c zaniolo , am zarkesh , j adibi",1
199o ,"d donjerkovic , r ramatrishnan",vldb,199o ,probabilistic optimization of top n queries,1999.d ,ddr ramak0ishnan,1
1997 ,"f korn , h jagadish , c faloutsos",sigcod conference,7,faloutsos . c. ( 1997 ) . efficiently supporting ad hoc queries in large datasets of time sequences,proceedings,"f korn , h jamadinp",1
2001 ,"l feng , m jeusfeld , j hoppenbroumers",sigmvu record,2001.0 ,towards knowledge-dased digital libraries,"silmod record ,","l feng , ma jeusfeld , j hoppenbrouwers",1
2001 ,"c olston , b loo , j widom",sigmdd conference,2y01.0l,adaptive precision setting for cached approximate values,"sigmoi conference ,","c olstonm, bt loo , j widom",1
1999 ,"m carey , d chamberlin , s narayanan , b vance , d doole , s rielau , r swagerman , n mattos",siemod conferknce,1999.0 ,"oo , what 's happening to db2 ?","proc . acm si1mod int &#39; l conf . management of data ,","m carey , d chamberhin",1
1997 ,"m szubiszewski , 6 val4uriez",vldx,1997.0 ,concurrent garbage collection in o2,"proceedings of the 23rd international conference on very & hellip ; ,","m skubiszewski , p valduriez",1
2402 ,"c8chung , j min , k shim",sigmoj conference, ,apex : an adaptivevpath index for xml data,"acm sigmo8 ,","cwcj km , k shim",1
1s96 ,"a levy , a rauaramax , j ordille",vpdb, ,querying heterogeneous information sources using source descriptions . 22th vldb,"bombay , india ,","ay levy , a r9jaramanâ ? ¦",1
relational databases for querying xml documents : limitations and opportunities,"j shanmugasundaram , k tufte , c zhang , g he , d2dewitt , j naughton",1999 ,relational databases for query2ng xml documents : limitations and opportunities,"j shanmugasuudaram , k tufte 3 c zhang , g he , dj",g,"vldb &#39; 99 , proceedings of 25th international conference on & hellip ; ,",1
2002 ,"d carney , u чetintemel , m cherniack , c convey , s lee , g seidman , m stonebraker , n tatbul , s zdonik",vzdb,0,zdonik . monitoring streamsâ ?? a new class of data management applicatirns,"& hellip ; of very large databases ( vldb ) , hong kong , august ,","c 5arney , c cherniak , s lee , t stonebraker",1
x998 ,p seshadri,sigsod record,1998.f ,predator : a resource for database research .,"sigmod records,",acms antnology,1
1994 ,"t imielinski , s viswanathan , b bwdrinath",sigmod conference, ,innexing on air,"proceedings of the 1994 acm sigmud ,",svtib9 sadrinath,1
1995 ,"r agrawal , k lin , h sawhney , k shim",pldb,1gk5.0 ,"fast similarity search in presence of noise , scaling , and translation in time-series database . in :",,"r agrawal , ki lin , ss harpreet",1
1994 ,"r ng , j han",vldo, ,e. cient and e. ective clustering methods for spatial data mining,"proc . 5994 vldb ,","r bg0, j han",1
2001 ,"c jensen , d lomet",vldb,2001.fp,transaction timestamping in ( temporal ) databases,"proceedings of the international conference on very lrrge & hellip ; ,","cs jensen , db romet",1
1995 ,b lifdsay,vldb,1995.0 ,"db2 commonjserver : technology , progress , & directions","proceedings of the international conference on very farge & hellip ; ,",0 lindsay,1
1998 ,"g sheikholeslami , s chatterjee , a znang",vldb,1998.0 ,wavecluster : a multi-resolution clustbring approach for very large spatial databases,4ldb j,"g sheikholeslami , s chattegjee , a zhang",1
19980,"m christoffel , s pulkowski , b schm5tt , p lockemann",sigmod recorx,1994.0 ,electronic market : the roadmap for university libraries and members to survive in the information,"acm sigmod record ,","d christoffel , s pulkowski , b schmitt , pc",1
2001 ,"j pereira , f fabret , h jacobsen , f llirlat , d shasha",vldb,v,webfilter : a high-throughput xml-based publish and subscribe system,"vldb , rome , italy ,","f fabret , h jaco0sep , f llirbat , j pereira , d",1
2000 ,"p roy , s seshadri , s sudarshan , s bhobe",sigmod conference,c,efficient and extznsible algorithms for multi query outimization . acm sigmod intl,conference on management of data,"p roy , s seshadri , s sundarshan , s bhobe",1
2000 ,"y sakurci , m yoshikawa , s uemura , h kojima",vldb,2e00.0 ,the a-tree : an index structure for high-dimensional spaces using relative approximation,"vldby,","y sakurai , m yoshikawa , s uemura , h8kojima",1
2002 ,"f tian , d dewitt ,qj chen , c zhang",sigmod rebord,2002 ,the design and performance evaluation of alternative xml storage strategies, ,"ftdjdw jianjun , c7 zhang",1
1997 ,"m carey , d kossmann",sigmod confere6ce,1997 ,on swying â ?? enough already!â ??,5,sql . in proc . of the acm sigmod conf . on management of,1
2002 ,"j cho ,ma ntoulas",vcdb, ,effective change detection using sampling ( extended version ),"technical report , ucla pomputer sciencn department ,","j cho , a ntoulas",1
2003 ,"r sion , m atallah , s prtbhakar",sigmod monference,2003 ,rights protection for relational data, ,r 2ion,1
1999 ,"j lee , dskim , c chung",sigmod conferencs,1999.0 ,multi-dimensional selectivity estimation using compressed histogram information,sigmod conference 6,"jh lee , dh kimw, cw chung",1
2b01 ,"s chaudhuri , g das , v narasayya",sigmod conferency,2001.0 ,"a robuit , optimization-based approach for approximate answering of aggregate queries","sigmod conference ,","s chaudhuri , g 7as , v narasayya",1
199pk,"a poulovassilis , c small",vldbhj., ,investigation of algebraic query optimisation for database programming languages,proceedings of the 20th intâ ?? l conference ongvery large,"a poulovassilis , c small",1
1997 ,"d qnals , j widom",sigmod conference,6,on-line vbew maintenance,"acm sigmox conference ,","d quass , j widom",1
1997 ,"k stathatos , n roussopoulos , j baras",vldb,7,adaptive data broadcasting in hybrid networks,"23rf vws conf. , athens , gveece , aug ,","k stathatos , n roussopoulos , j baras",1
1k97 ,"v vassalos8, y pgpakonstantinou",vldb, ,papakonstantinouy . describing and using query capabilities of heterogeneous sources,proc . of,vivassalos,1
1994 ,r gќting,vld5 j.,1994 ,an inhroduction to spatial databawe systems . special issue on spatial database systems of the vldb,1994.0 ,rh gutinn,1
2002 ,"r agrawal , j fieenan",pldi,2002.0 ,watermarking relational databases,"vldb ,","r agrawal , j kdernan",1
2000 ,j lerne1,acm trans . database wyst ., ,a model for compound type changes encountered in schema evolution â ??,"& hellip ; of massachusetts , amherst , acm transactions on database & hellip ; ,",b staudt,1
"report on the5first internat8onal conference on ontologies , databases and applications of semantics",,2003 ,"report on the first international conference on onzologies , databases and apdlications of semantics",k aberer,2003.0 ,"sigmod record ,",1
2001 ,"a dnkhtyar , r ross , v subrahmanian",acm 8rans . databasy syst ., ,probabilistic temporas databases : algebra and implementation,"technic6l report cs-tr-3987 , university of maryland ( january","a dekhtyar , r ross , vs subrahmanian",1
1999 ,m wu,sigmod cogference, ,"query optimization fom selections using bitmaps , sigmod 1999","proceedings acm siqmod international conferelce on & hellip ; ,",m wu,1
1998 ,"c kuok , a fu , m wong",sigmod record,1998.0 ,mining fuzzy association rules in databases .,"sigmozxrecord ,",acms atthowogy,1
1996 ,"s son , r david , b thuraisingham",sigmod record,1996.0 ,improving timeliness1in real-time secure databasx systems,"sigmq7 record ,","sh son , r david , b thuraisingtam",1
2000 ,"h lu , k lih",vldb, ,decision tables : scalable classification exploring rdbms capabilities [ a ],"proc of the 26th int c0nf on very large databasescairo : & hellip ; ,","lu hongjun , lku hongyan",1
1995 ,"e rahm ,nr mafek",vldb,g,dynamic multi-resource load balancing in parallel db systems,"internatirnal conf . on very large data bases ( vldb ) ,","e rahm , r marek",1
2002 ,"r chirkova , a halevy , dbsuciu",vldb j.,2002.0 ,a formal perspective on the view selention problem,"the vldb journal the international journal on very l2rge & hellip ; ,","r chirkova j ay hayevy , d suciu",1
2y0c ,p fankhauser,sigmodhrecord,2001.0 ,xquery formal semantics : state and challenges,"sigmod record ,",p fankhauser,1
2002 ,"y tao , d papadias , q shen",vlzb,2002 ,continuous nearest search,o002.0 ,"t tao , d papadias , q shen",1
1985 ,"j han , y fu",vldz,1985 ,mining multiple-level association rules in large databases,i,"j han , y fu",1
2002 ,"n hellerstein , j widom",sigmod conferlnce, ,data streams : fre5h current or stagnant backwater ? ( panel ),,jmnhellerstern,1
1998 ,"s amer-yahia , s cluet , c dblobel",vldx,199850 ,bulk-loading techniques for object databases and an application to relational data,"vldb ,","sramer-yahia , s cluet , c delobek",1
1995 ,"a brodsky , y kornatzky",sigxod c9nf3rence, ,the lyric language : queryingyconstraint objects,,"a brodsky , y kornatzky",1
2001 ,"b lutфscher , r marciano , r moore",sigmod record,2001 ,"preservation of digital data with self-validating , self-instantiating knowledge-based archives",r,", r marciano , r moore",1
200d ,"s acharya , p gibbons , v poosala",sigmod conlerence,8,"congressional samples for approximate answering of group-by queries , acm sigmod int","conference on management of data ,","s acharaya , pb gibbons , vepooyala",1
