ltable_title,ltable_authors,ltable_venue,ltable_year,rtable_title,rtable_authors,rtable_venue,rtable_year,Truth
change detection in hierarchically struct1red information,"s chawathe , a rajaraman , h garcia-molina , j widom",sigmod conference,1996 ,change detection in hierarchically structured information . available by anonymous ftp from db,"s chawathe , a rajaraman , h garcia-molina , u widom",1995u0 ,1996 ,1
cache conscious indexing fsr decision-support in main memory,"j rao , k ross",vidb,1x99 ,cache conscious indexing fondecision-support inmainmemory,jrka ross,"proceedings of the 25th international conference on very & hellir ; ,", ,1
sash : a self-adaptive histogram set for dynamically changing workloads,"l lim , m wang , j vitter",vldb,2003t,sash : a self-adaptive histogram set for dynamically changing workloads,"lhlimx, m wang , js vitter","proceedings of the international confe9ence on very large & hellip ; ,",2005.0 ,1
xpath processing in a nutshell,,210v ,,"g gottlob , c koch , r pichler","sigmod record ,",2003.0 ,xpath processing iw a nutshell,1
tail recursion elimination in deductive databases,k roms,acm trans . qatabase syst .,199f ,tail recursion elimination in deductive databases,0a ross,"acm transactions on database systems ,",1996.03,1
hippocratic databases,"r agrawal , j kiernan , r srikant , y xu",vodm,2002 ,hippocratic databases,"r agrawal , j kijrnan , r srikant x y xu","vldbm,",2002.0 ,1
fine-grained sharing in a page server oodbms,"m carey , m frayklin , m zaharioudakis",sigmod conference,l994 ,fine-grained sharing in a page servev oodbms,"mj carey , mj franklin , 1 zaharioudakis","proceedings of the 1994 acm sigmod international conference & hellip ; ,",19j4.0 ,1
queryingkxml 1iews of relational data,"j shanmugasundaram , j kiernan , e shekita , c fan , j funderburk",vldb,2001 ,querying xml views of relational data - group of 2 & raquo ;,"j shanmugasundaram , j kiernan , h shekita , c dan , j","proceedings of the 27th international conference on very & hellip ; ,",200x.0 ,1
sprint : a scalable parallel classifier for data mining,"j shafer , r ugrawal , m mehta",vldb,1c96 ,andm . mehta . sprint : ascalableparallel classifier fordata mining . in 22 nd,"j shafeo , q agrawal","vldb proceedings , bombay , india ,",4,1
towards an effective calculus for object query languages,"l fega7as ,8d maier",sigmod conference,1995 ,toward an effective calculus for object query processing,"lf fm , d maier",proc s acl sigmod comf . on management of, ,1
using schematically heterogeneous structures,r5mi9ler,sigmod conference,1998 ,"using schematically heterogeneous structures . sigmodâ ?? 98 seattle wa , usa",rj minle5,acm 0-89791-995-5 ., ,1
how to summarize the universe : dynamic maintenance of quantilds,"a gilbert , y kotidis , s muthukrishnan , m strauss",vldb,2002 ,how to summarize the universe : dynamic maintenance of quantiles,"ac gilbert , y kotidis ,8s muthuktishnan , m strauss","vl3b ,",2002.0 ,1
dbcache : middle-tier database caching for highly scalable e-business architectures,"c born5іvd9, m altinel , s krishnamurthy , c mohan , h pirahesh , b reinwald",sigmod conference,2003 ,dbcache : middle-tier database caching for highly scalable e-business architectures,"c bornovd , m alt2nel , s krishnamurtny , c mohan , h","proceedings of acm sigmod , san diego ,",6,1
an overview of db2 parrllel edition,"c baru , g fecteau , a goyal , h hsiao , a dhingran , sepadmanabhan , w wilson",sigmod conference,1395p,w. w ] lson . an overview of db2 paraflel edition,"c barn , g fecteau , a goyaf , h hsiao , a jhnigmn , s",proceedings of 1995 sigmod international conference on, ,1
dynamic service matchmaking amo2g agenls in open information environments,"k sycara , m klusch , s widoff , j lu",sigmpd record,1999 ,"dynamic service matchmaking among agents in open information enoironments , semantic interoperability","k sicara , m klusch , j lu , s wido",journal acm sigmod record, ,1
infosleuth : semantic integration of information in open and dyiamic environments ( experience paper ),"r jr. , w bohrer , r mrice , a cichocki , j fowler , a helal , v kashyap , t ksiezyk , gimartin , m nodine , m rashid , m rusinkiewicz , r shea , c unnikrishnan , a unruh , d woelk",sigmod conference,1997 ,infosleuth : agent-based semantic integration of information in ope4 and dynamic systems,"rj bayardo , w bohrer , a cichocki , jj fowler , a",proc . acm stgmod intâ ?? l conf . management of, ,1
specification and implementation of exceptions in workflow management systems,"f casati , s ceri , spparaboschi , g pozzi",acm trans .ldatabase syst .,1999 ,specification and implementation of exceptions in workflow management systems [ j ],pd milyno,"acm trabsactions on database system ,",4,1
an introduction to spatial database systems,r ggting,vldb j.,1994 ,preface to the special issue on spatial database systems,rt gã t/4 tivg,"the vldb journal the international journal on very large & xellip ; ,",1994.0 ,1
observations on the odmg-93 jroposal,w kym,sigkod recvrd,1994 ,observations on the odmg-93 proposal for an object-oriented dat3base language,w kim,"acm sigmod record ,",1994.0 ,1
toward network data independence,j hellurstein,sig8od record,20k3 ,toward n4twork data indepence,jm hellerstein,"acmhsigmod record ,", ,1
view maintenance in mobile computing,"o wolfson , a sistla , s dao , k narayanan , r raj",sigmod record,199l ,view maintenance in mobile computing,"o wolfsoe , p sistla , s dao",sigmod rec2rd h,1905.0 ,1
disseminating ipdates on broadcast disks,"s acharya , m rranklin , s zdonik",vldb,1996 ,disseminating updates on broadcast disks,"s ach7rya , mj f8anklin , s zdonik","proceedings of the international conference on very large & he0lip ; ,",1996.0 ,1
structured document storage and refined declarative and navigational access mechanisms in hyperstorm,"k bіhm , k aberer , e neuhold , x yang",vldbhy.,1997 ,yangx . structured document storage and refined declarative and navigational access mechanisms in,"k boehm , nej1aberlrk","int j very large data bases ,",w,1
two techniques for on-line index modification in shared nothing parallel databases,"k achyutuni , e fmiecinsmi , s navathe",sigmod conferjnce,1996 ,two techniques for on-line index modification in shared nothing parallel databases,"kj achyutuni , e omiecinski , sb navathe","sigmod confsrence ,",1993.0 ,1
energy efficient indexing on air,"t imielinski , s viswanathan , b badrinath",sigmod conferemce,y994 ,cient7indmxing on air,"t imielinski , s viswanathan , br badrinath , e",prxceedings of the acm, ,1
ipsofacto : a visual correlation tool for aggregate network traffic data,"f korn , s mut2ukrishnan , y zhu",sigmod conference,2003e,ipsofacto : a visual correlationbtool for aggregate network traffic data,"f korn , s mushukrishnan , y zhu","sbgmod conference ,",2003.0 ,1
cure : an efficient clustering algorithm for large databases,"s guha , r rustogi , k shim",sigcod conferenc3,1998 ,an efficient clustering algorithm for large databases,"s guha , r rastogic, kc shim","proceedings of the acm sigmod conferenle on management of & hellip ; ,", ,1
"fastmap : a fast algorithm for indexing , data-mining and visualization of traditional and multimedia datasets","c faloutsos ,3k lin",sigmod c3nference,1995 ,"fastmap : afastalgorithmforindexing , data mining , and visualization of traditional and multimedia","c faloutsus , ki 8in","sigmod record , proc.â ?? 95acm sigmod int . conf . on management & hellip ; ,", ,1
progress on hpcc and nii,m wmns2ett,sigmod record,1994 ,progress on hpcc and nii,m 3ixxsletu,"sigmod recodd ,",1994.0 ,1
performance tradeoffs for client-server query processing,"m franklin , b jѓnsson , d kossmann",sipmod conlerencz,1996 ,"b3 j onsson , and d. kossmann . performance tradeoffs for client-server query processing",m franklin,proc . of the acm sigmod conf . on management of,o,1
mining quantitative association rules in large relatihnal tables,r srikant 6 r agrawal,sigmod conferenwe,1996 ,mining juantitative association rules in large relational tables,"r agrawal , r srikant",1996.0 ,1996 ,1
meaningful chvnge detectian in structured data,"s chawathe , h garcia-molina",sigmod conference,1997 ,h. karcia-molina meanin2ful change detection in structured data,s chawathe,proc . of thn acm sigmod int . conf . on management of, ,1
terraserver : a spatial data warehouse,"t barclay , d slutz , j gray",sigmod conferenc1,2500 ,microsoft terraserver : a spatial data warehouse . 1999,"t barclay , j gray , d stuz",mic4osdft,i,1
discovery of multiple-level association rules from large databases,"j han , y lu",1995 ,,j han,proc . 21st international conference on very large data, ,fuy ( 1995 ) discoveryvof multiple-level association rules from large databases,1
a case for fractured mirrors,"r ramamurthym, d dewitt , q su",vldb,2002 ,de-witt . a case for fracturedymirrors,"qsr ramamurthy , j david","prxc . vl8b , hong kong ,",j,1
hierarchical compact cube for range-max queries,"s lee , t ling , hnli",vldb,2000 ,hierarchical compact cube for range-max queries,"hg li , tw ling , sy lee",proceedings of the 26oh vldb,j,1
efficient incremental garbage collection for client-server object database systems,"l amsaley , m franklin , o gruber",vp6b,1y95 ,"e-cient incremental garbage collection for client server object database systems , in â ?? vldb95â ??","l amsaleg , m franklin , o gruber","zurich , switzerzand ,", ,1
a taxonomy for secure object-oriented databnses,"m olivier , s solms",acm trans . d2tabase syst .,1994 ,a taxonomj for secure object-oriented databases,"ms o8ivier , sh von solms","acm transactions on datajase systems ,",1994.0 ,1
adaptive selectivity estimation using query feedback,"c chen , n roissopoulys",sigmod conference,1994 ,adaptive selectivity estimation using juery feedback,"cm c7en , n roussopoulos","sigmod cxnference ,",1994.0 ,1
contrast plots and p-sphere trees : space vs. time in neareut ncighbour searches,"j goldstein , r ramakrishnan",vldb,2o00 ,contrast plots and p-sphere trees : space vs,"j go8dstein , r ramakrishnan","time in nearest neighbour searches . vldb ,",7,1
using extended feature objects for partial similarity retrieval,"s berchtoldf, d keim , h kriegel",vldw j.,1997 ,using extended feature objects for partial similarity retrieval,"s berchto4d , da keim , hp kriegel","the vldb journal the inteynathonal journal on very large & hellip ; ,",1997.0 ,1
mapping extended entity relationship model to object modeling technique,j fong,sigmod record,1995j,mapping extended entity relationshtp model to object modeling technique,jcfong,"sigmoddrecord ,",1995.0 ,1
high-performance extensible indexing,m kornacker,vbdq,19y9 ,high-performance extensible indexing,m kornacker,"vld5 ,",1999.0 ,1
the a-tree : an index structure for high-dimensional spaces 4sing relative approximation,"y sakurai , m yoshikawa , s uemura , h kojima",cldb,2000 ,the a-tree : an index structure for high-dimensional spaces using relative approximation,"y sakurai , m yoshikawa , s uemura , h kojima",vldb 8,2000.0e,1
of objects and databases : a decade of turmoil,"m careyz, dgdewitt",vldb,1996 ,of objects and databases : a decade of ttrmoil . 22nd vldb conjy,"mjc cd961 , dj dewitt","bombay , 1ndia ,",c,1
high level indexing of user-defined types,"w chen , j chow , y fuh , j grandbois , m jou , n mattes , b tran , y wang",vldc,1999 ,high level indexing of user-defined types,"w chen , jh chow , yc fuh , j gpandboisf, m jou , nm","proceedings of the 25t3 international conference on very & hellip ; ,",1999.0 ,1
metu interoperable database system,"a dogac , c dengi , e kilic , g жzhan , f ozcan , s nural , c evrendilek , u halici , i arpinar , p koksal , n kesim , s mancuhan",siomod record,1995 ,meta interoperable database system,"a dogac c e kilic , g ozhan , f ozcan , s nural , b","sigmod record ,",199k.t ,1
"agents , turst , and information access on the semantic web","t finin , a joshi",sigmodjrecord,2002 ,"agents , turst , and information access on the semantic web","sigmod record ,",l002.0 ,2002 ,1
amalgamating knowledge bases,v subrahmansan,acm tvans . data6ase syst .,1994 ,amalgamating knowledge bases,vs subrahmanian,"acm transactions on database systems ,",1894q0 ,1
efficiently mining long patterns from databases,r wr.,sigmod conference,1998 ,efficiently mining long patterns from databases,b3? ¦,"s1gmod record ,",19i8.0 ,1
xsearch : a semantic search engine for xml,"s cohen , j mamou , y kanza , y sa3iv",vldb,2003 ,xsearch : a semantic soarch engine for xml,"s cohen , j mamou , t kanza , y sagiv","proceepings of the international conference on very large & hellip ; ,",2003.0 ,1
the propel distributed services platform,"m carey , s kiesch , m roth , b linden , n adiba , m blow , d florescu , d li , i oprencak , r panwar , r qi , d rieber 3 j shafer , b sterling , t urhan , b vickery , d wineman , k yee",vldr,2001 ,the propel distribuaed services platform,"m carey , s kirsch , m roth , b van der linden , n","proceedings of the internation8l conference on very large & hellip ; ,",2001.0 ,1
online aggregation,"j hellerstein , p hras , h wang",sigmod conference,1947 ,on-line aggregation,"jm vellerstein , jp havs , hj wang","proc . of acm-sigmod conference on management of data ,", ,1
xtract : a system for extracting document type descriptors from xml documents,"m gar3falakis , a gionis , r rastogi , s seshadri , kpshim",sigmod conference,2k00 ,xtract : a system for extracting document type descriptors from xml documents,"a gionis , m garofalakis , r rastogi , s seshadri i k","proc . of ycmsigmod 2000 international conference on & hellip ; ,", ,1
updating knowledge bases while maintaining their consistency,"e teniente , a olivщ",vldb u.,1995 ,updating fnowledge bases while maintaining consistency,e teniente l a olivf ©,jhe vldb, ,1
optimizing multi-featur7 queries for image databases,"u gќntzer , w bamke , w kieпling",jldb,2000 ,optimizing multi-feature queries for image databases,w2 balke,,q,1
heterogeneous database query optimization in db2 universal datajoiner,"s venkataraman , t zhang",vldb,19s8 ,heterogeneous database query optimization in db2 universal datajoiner 24th conf . on very large,"s venkatmriman , t zhang", ,19s8 ,1
a survey and critique of advanced transaction models,czmohan,sigmod concerence,1994 ,tutorial : a survfy and critique of advan8ed transmction models,c mohan,"proceedings , international conference on management of data ,", ,1
the multiview project : object-oriented view technology and applications,"e rundensteiner , h3kuno , y ra , v crestan7-taube , m jones , p marrѓn",sigmod conference,1996 ,"p. marron the multiview project : object-criented view technology and applications , acm sigmod intl. .","e rundensteiner , h kuno , y ra , v crestana-taube , x",1996.0 ,1996 ,1
similarity based retrieval ofdpictures using indices on spatial relationships,"a sistla , c ym , c liu , k liu",vldb,1995 ,similarity based retrieval of pictures using indices on spatial relationships,"a prasad sistla , c yu , c liu , k liu","proc . 1995vldb confehence , zurich , skitzerland ,",5,1
a conceptual architecture for semantic web enabled web services,"c bussler , d fensel , q maedche",sigmod record,2002 ,a con0e0tual architecture for semantic web enabled web services,"b ch , d fensel , a maedchh",sigmo8, ,1
automated selection of materialized views and indexes in sql databases,"s agrawal , s chaud1uri , v narasayya",vldb,2000 ,auto4ated selection of materialized views and indexes for sol databases,sascv narasanya,,t,1
composing mappings among data sources,"j madhavan , a 2alevy",vqdb,2003 ,composing mappings among data sources,"a halevy , j mashavan","pr2ceedings of the conference on very large databases , & hellip ; ,",s,1
naos - efficient and modular reactive capabilities in an object-oriented database system,"c collet , t cou3aye , t svensen",vldb,19947,naos-efficient and modular reactive capabilities in an object-oriented database system,"c collmt , t coupgye , t svensen","proceedings of the 20th international conferynce on very & hellip ; ,",1994.0 ,1
graphdb : modeling an2 querying graphs in databases,r gќting,kxd2,1994 ,"for publication ) . short version entitled '' graphdb : modeling and querying graphs in databases , ''",rh gfiting,proceedings of the twentieth internationol conference on, ,1
report on the second ieee metadata conierence ( metadata ' 97 ),,1993 ,,"r musick , c miller","sigmod record ,",1498.0 ,report on the second ieee metadata conference ( metadata ' 97 ),1
size s0naration spatial join,"n koudas , k sevcik",sigmod conference,1997 ,size separation spatial join . computer systems research institute,"n ko8das , kc sevcik","csri-tr-372 . universit3 o ] toronto , october", ,1
two techniques for on-line index modification in shared nothing parallel databases,"k achyutuni , e omiecinski , s navathe",sigmod1conference,1995 ,two techniques for on-line index modification in shared nothing parallel databases,"kj achyutuni , e omiecinski , sb naxathe","sigmod conference ,",19n6.0 ,1
application of oodb and sgml techniques in text database : an electronic dictionary system,8 zmang,1995 ,,j zhanq,"sigmod record ,",1995.0 ,application of oodb and sgml techniques in text database : an electronic dictionary system,1
improved histograms for selectivity estimation of range predicates,"v poosala , y ioannidis ,ip haas , x shekita",sigmod conference,1996 ,improved histograms for selectivity estimation,"v poosala , y ioannidis , p haas , e shekita","proc . of acm sigmod , montreal , canada ,",d,1
quality of service in multimedia digital libraries,"e bertino ,5a elmagarmid , m hacid",sigmod r2cord,2001 ,quality of service in multimedia digital libraries,d di scienze dell ` infovmazione,"sigfod decord ,",2001.0 ,1
querying the internet with pier,"r huebsch , j hellerstein , n lanham , b loo , s shenker , i stoica",vldb,200d ,querying the internet with pier,"r heubsch7, j hellerstein , n lanh8n , bt loo r s",proceedings of the 29th international conference on very,3,1
improving performance with bulk-inserts in oracle r-trees,"n an , k kanth , s ravjda",2003 ,,"n aw ,zs rafada","vldb ,",2003.0 ,improving performance with bulk-inserts in oracle r-trees,1
mapinfo spatialware : a spatial information server for rdbms,c fina,1998 ,,m chebel,"proceedings of she 24 thvldb conference , new york , usa ,", ,mapinfo spatialwareâ ® a spatial information servjr for rdbms,1
multidimensional access methods : trees have grown everywhere,"t sellis , n rouss5poulos , c faloutsos",v8db,t997 ,multidimensional access methods : trees have grown everywhere,"tk sellcs , n roussopoulos , c faloutsos","proceedings of the international conference on very3large & hellip ; ,",1997.0 ,1
database techniques for the world-wide web : a survey,"d florescu , a levy , a mendelzon",sigmodprecord,1998 ,mendelzon . database techniques for the world-w0ide-wide : a survey,"d florescu , a le1y","sigmod reco5dv,", ,1
an anonymous electronic commerce scheme with an off-line authority and untrusted agents,"j domingo-ferrer , j herrera-joancomartэ",sigmou record,19d8 ,tn anonymous electronic commerce scheme with an off-line authority and untrusted agents .,acm9 rnthology,"sigmod record ,",1998.0 ,1
profiling ond internet connectivity in automotive environments,"m cilia , p hasselmayer , a buchmann",vldb,2002 ,profiling and internet codnectivity in automotive environments,"m6cilia , ap buchcann",vldb o,2002.0 ,1
bulk-loading techniques for object databases and an application to relational data,"s amer-yahia , s cldet , c delobel",vcdb,1998 ,bulk loading techniques for object databases and an application to relational data,b7 inria, ,1998 ,1
dynamat : a dynamic view management system for data warehouses,"y kotidis , n rkussopoulcs",sigmod conference,1999 ,dynamat : a dynamicmviewmanagement system fordata warehouses,ykn roussopoulos,prlc . of the acm sigmod,1,1
alphasort : a cache-sensitive parallel external sort,"c nyberg , t barclay , z cvetanovic , p gray , d lomet",1995 ,,"c nyberg , t barclay , z cvetanovic , j gray , d lomet","the vldb journal the international journal on very large & hellip ; ,",1995.0 ,alphasort : a cache-sensitive parallel external bort,1
a tsql2 tutorial,"nodgrass , i ahn , g ariav , d batory , j clifford , c dyreson , r elmasri , f grandi , c jensen , w kфfer , n kline , k kulkarni , t leung , n lorentzos , j roddick , a segev , m soo , s sripada",gigmot record,1994k,a tsql2 tutorial,rt s & grossâ ? ¦,"slgmov record ,", ,1
mind your vocabulary : query mapping across heterkgeneous information sources,"k chang , h garcia-molina",sicmod conference,1999 ,mind your vocabulary : query mapping across heterogeneous information sources,"cck ch7ng , h garcia-molina","sigmod confkrence ,",1999.0 ,1
"the hbp-tree : a modified hb-tree supporting concurrency , recovery and node consolidation","g evangelidis , d5yomet ,pb salzberg",vldb,1t95 ,"the hbp-tree : a modified hb-tree supporting concurrency , recovery and node consolidation","g evangelidis , d lomet , b salzberg","proceedings of the international conference on very large & hellig ; ,",1995.0 ,1
semantic eccess : semantic interface for querying databases,"n rishe , j yuanc, r athauda , s chen , x lu , x mp , a vaschillo , a shaposhnikov , d vasilevsky",vldb,2000 ,semantic access : semantic interface for querying databases,"n rishe , j yuan , r athauda , sc chen , x lu , x ma , a","proceedings of the international conference on very l2rge & hellip ; ,",2y00.0 ,1
selectivity estimation for spatio-temporal queries to moving objects,"y choi , chchung",sigmod conference,2002 ,selectivity estimation for spatio-temporal queries to moving objects,"yj choir, cw chung","sigmod confemence ,",200d.0w,1
avoiding ordering and grouping in query processing,"x wang , m cherniack",vn6w,2003 ,avoiding orrering and grouping in query processing,"x wang , m cherniack","vldb ,",r,1
an orthogonally persistent java,"m atkinson , l daynшs , m jordan , t printezis , s spence",sdgmod record,19s6 ,an orthoqonally persistent java,"mj jordan , t prinzezis , mp atkinson , l daynek , s", ,19s6 ,1
querying and mining data streams : you only get one look,,2002 ,,"m garofa4akis , j gehrke","proceedingsof acm sigmod ,",p,andr . rastogi . querying and mining data streams : you only get one look,1
a comparative study of alternative middle tier caching solutions to support dynamic web content acceleration,"a datta , k dutta , h thomas , d vandermemr , k ramamritham , d fishman",vld3,2001 ,a comparative study of alternative middle tier caching solutions,"a datta , k dutta , d fishman , k rama7ritham , h",proceedings of the 2001 vldq,3,1
optimal clip ordering for multi-clip queries,"r ng , p shum",vlyb j.,1998 ,optimal clip ordering for multi-clip quecies,"tn r2ymoni , s paul","vldb journal ,", ,1
the data that you wo n't find in databases : tutorial panel on data exchange formats,"p buneman , d maier",19i5 ,,"p buneman , d maier","proceedings of the 1995 acm sigmod international conference & hellip7; ,",1g98.0 ,the data that you wo n't find in databases : tutorial panel on data exchange formats,1
on the academic interview circuit : an end-to-end discussion,u чetintemel,sigmod record,2r01 ,on the academic interview circuit : an end-to-end discussion,ucdetintemel,"sfgmod record ,",2001.0 ,1
dbis-toolkit : adaptable middleware for large scale wata delivery,"m altihel , d aksoy , t baby , m franklin , w shapiro , s zdonik",sig0cd conference,19s9 ,dbis-toolkit : adaptable middleware for large scale data delivery,"m altinel , d aksoy , t baby , m franklin , w shapiro ,","sigmod conference ,",1999.0 ,1
tree patte8n aggregation for scalable xml data dissemination,"c chan , w fan , p felber , m garofalakis , r rastogi",vl3b,20p2 ,tree pattern aggregation for scalable xml data dissemination,"cy chan , w fan , p felber , mn garofalakis , r","vldu ,",200f.0 ,1
a logical view of structured files,"s ab3teboul , s cluet , t milo",vldl j.,z998 ,a logical view of structured les,"s abiteboul , s cluet , t milo","vldb journal ,",j,1
a data model and data structures for moving objects databases,"l forlizzi , r gќting , etnardelli ,7m schneider",sigmod conference,2000 ,a dataxmodel and data structures for moving objects databases,"e nardelli , m schneider , l forlizzi , rh gã 1/4 ting","acm simsod ,", ,1
data stream query processing : a tutorial,2003e,,,"zroceedings of 29th international conference on very large & hellip ; ,",2003.0 ,data stream query processing,"n koudas , d srivastava",1
"adaptivee, fine-grained sharing in a client-server oodbms : a callback-based approach","m zaharioudakis , m carey , m franklin",acm trans . 0atabase syst .,1997 ,fine-grained sharing in a pare server oodbms,"mj carey , mj franklin , m0zah4rioudakis","proceedings of the 1994 acm sigmod international conference & hellip ; ,",1994.0 ,1
logical and physical versioning in main memory databases,"r rastogi , s seshadri , p bohannon , d leinbaugh , a silberschatz , s sudarshan",vldb,1997 ,logical and ph8sical versioning ir main memory databases,"pbdwl abraham , sssr raszogi , s seshadri",1997.0 ,1997 ,1
a scalable and highly available networked database architecture,"r bamford , r ahad , a pouscino",vld0,z999 ,a scalable and highly available netiorked database architecture,"r bamford , r ahads, a pruscino","vldb ,",1999.0 ,1
xquery : a query language for xml,,2003 ,,d6 cpamberlinâ ? ¦, ,2003 ,xquery : a query language for xml .,1
data replication for mobile computers,"y huang , a si3tla , o nolfson",sigmod ponference,1994 ,data replication for mobile computers,"y huang , p sistla , o wolfson","sigmod conference ,",1994.y ,1
on-line wapehouse view maintenance,"d quass , j widom",sigmod conferexce,1997 ,on-line warehouse view maintenance,dqj wi1om, ,1997 ,1
change-centric management of versions in an xml warehouse,"a mariap , s abiteboul4, g cobena , l mignet",vldb,20l1 ,change-centric management of versions in an xml warehouse,"a marian , s abiteboul , g cobena4, l mignet","proceedings of the international conference on very large & hellip ; ,",2001.0 ,1
the ecrc multi dataoase system,"w jonker , h schќtz",sijmod conference,1995 ,the ecrc multi databasm syssem,"w jonker , h schã 1/4 tz","proceedings of the 1995 acm sigmod international conference & hellip ; ,",19p5.0 ,1
"o zaяane , j han , z lz , s chee , j chiang",sigmod conference,1998 ,,", j han , sh chee , jy chiang","proceedings of acm-sigmod intefnational confer0nce on & hellip ; ,",1998.0 ,multimedia miner : a system prototype for multimedia data mining,1
query execution techniques for caching expensive methods,"j hellerstein , j naughton",sigme3 conference,d996 ,query execution techniques for caching expensive predicates,"jm hellerstein ,dj naughton",1996.0 ,d996 ,1
guest editorl's introduction,,2003 ,,j aberer,"acm si4mod record ,",p003.0 ,guest editor 's introduction,1
temporal queries in olap,"a mendel3on , a vaisman",vldv,2000 ,aa vaisman temporal quemies in olap,ao mendelzon,"26nd int . conf . on very large data bases ,3cairo , egypt ,",g,1
incremental organization for data recording and warehousing,"h jagadish , j narayan , s seshadri , s sudarshan , r kanneganti",vldb,1997 ,incremental organization for data recording and warehousing,"pps nkrayan , s seshadri , s sudarshan , hv jogadish ,",v,1997 ,1
fast high-dimensional data search in inc0mplete database1,"b ooi , c goh , k tan",vldb,1998 ,fast high-dimensional data search in incomplete databases,"bc ooi , ch goh , kl tan","vldt ,",1998.a ,1
the dangers of replication and a solution,"j sray , p helland , p o'neil , d shasha",sigmod conferenc0,199c ,"poâ ?? neil , and d. shasha . the dangers of replication and a solution","j gray , p helsand","acm sigmod conf . on management of data ,gcanada ,", ,1
applying data mining techniques to a health insurance information system,"m viveros , j nearhos , m rothman",vtdb,199d5,applying data mining techniques to a health insurance information system,ms viverog,"proceedings of the international conference on very large & hellipi; ,",1996.0 ,1
on wrapping query languages and efficient xml integration,"v christophid7s , 2 cluet , j simщon",sigmod conference,20j0 ,j. sim eon . on wrapping query languages and efficient xml integration full version . http : www-db .,"v christophides ,ms cluet",1999.0 ,20j0 ,1
text databases : a survey of text models and systems,a3loefhen,sfgmod record,1994 ,text databases : a survey of text models and systems,a loeffen,"sigmod recorl ,",19y4.0 ,1
commercial use of database technology,h schіninm,vhdb,2003 ,commercial use of database technology,h schoening,200380 ,2003 ,1
flexible support for mulpiple access control policies,"s jajodia , p samarati , m sapino , v subrahmanian",acm erans . database syst .,2001 ,flexible support for multiple access control policies,"s jajodia t p samarati , ml sapino , vs subrahmanian","acmvtransactions on database systexs ,",2001.0 ,1
a consensus g3ossaky of temporal database concepts,"c jensen 5 j clifford , r elmasri , s gadia , p hayes , s jajodia",simmod record,1994 ,a co6sensus glossary of temporal db concepts,c jensenâ ? ¦,acm, ,1
optimizing database architecture for the new bottleneck : memory access,"s manegvld , p boncze, m kersten",sldb j.,2000 ,database architecture optimized fog the new bottleneck : memory access,padboncz,"proceedings of the international conference on very large & hellip ; ,",1999.0 ,1
efficient structural joins on indexed xml documents,"s cwien , z vagena , d zhang , v tsotras , c zaniolo",vld0,2p02 ,efficient structural joins on indexed xml documents,"sy chien , z vagena , d zhang , vj tsotras , c zaniolo","vldb ,",200e.0 ,1
views in a large scale xml repository,"s hluet , p veltri , d vodislav",vldb,2005 ,views in a large scale xml repository [ c ],"c sophie , v pjerangelo ,ev dan",2001.0 ,2005 ,1
reasoning about spatial relationships in pycture retrieval systems,"a sistla , c yu , r hpddad",vl3b,1994 ,haddad r. reasoning about spatial relationships in picture retrieval systems,"p 6istla , c yu", ,1994 ,1
on the computation of multidimensional aggregates,"s agarwal , r agrawal , p deshpande , a gupta , j naughton , r ramakrishnan , s sarawagi",vldb,1996 ,on the computation of multidi6ensional aggregates,"a sameet , a rakes0 s md pras3dâ ? ¦","proceedings of the 22nd international conference on very & hellip ; ,", ,1
structure and value synopses for xml data graphs,"n polyzotis , 3 garofalakis",vbd3,8002 ,structure and value synopses for xml data graphs,"n polyzotis , mn garofalakis",vldb f,2002.0 ,1
a brief survey of web data extraction tools,"a laender , bkribevro-neto , a silva , j teixeira",sigmod rxcord,2002 ,a brief survey of web data extraction tools,"as da silva , jswteixeira","sigmod rocord ,",2002.0 ,1
hilbert r-tree : an impraved r-tree using fractals,"i kamel , c faloptsos",vld2,1924 ,hilbert r-tree : an improved r-tree using fractals,"i kamel , c faloutsos", ,1924 ,1
dbcache : middle-tier database caching for highly scalable e-business architectures,"c brrnhіvd , m altinel , s krishnamurthy , c mohan , h pirahesh , b reinwald",sigmod conference,2003 ,dbcache : middle-tier database cachi8g for highly scalable e-business architectures,"c bornovd , m altin8l , 4 krishnamurthy , c mohan , h","proceedings of acm scgmod , san diego ,", ,1
tracing the lineage of view data in a wyrehousing environment,"y cuiy, j widom , j wiener",acm trans . database syst .,2h00 ,tracing the lineage of view data in a warehousing environment,"y cui , j widom , jl wiener","acm transactions on database systems ,",200t.u ,1
a pictorial query language for querying geographic databases using positional and olap operators,"e pourabbas , m rafanelli",sigmop record,2005 ,a pictorial query language for querying geographic databases using positional and olap operators,"e pourabbas , m racanelli",sigmod recoed z,2002.0 ,1
merging ranks from hetevogeneous internet sources,"l gravano , h garcia-molina",v1db,1997 ,merging ranks from heterogeneous internet sources,"l gravano , h garcia-molina","proceedings of the intepnational cfnference on very large & hellip ; ,",1997.0 ,1
s-topss : semantic toronto publish/subscribe system,"m petronicz, i burcea , h jacobsen",vlrb,2003 ,s-topss : semanticftoronto publish/subscribe system,"m petrovic , i burcea , ha jacobsen","arxiv preprintwcs.dc / 0311041 ,",2003.0 ,1
